test_season,target,model,n,accuracy,brier,log_loss
2024,home_win,hgb,272,0.6544117647058824,0.2181843616721637,0.6268917012377339
2024,home_win,logreg,272,0.6985294117647058,0.20627101415736943,0.6021782779257878
2024,home_win,naive_bayes,272,0.6911764705882353,0.21281427363490865,0.6164769290424422
2024,home_win,adaboost,272,0.6838235294117647,0.21301986947791443,0.6166596978500402
2025,home_win,hgb,272,0.6580882352941176,0.22405234556166795,0.638731750788606
2025,home_win,logreg,272,0.6213235294117647,0.223869767000099,0.6380417282210002
2025,home_win,naive_bayes,272,0.6323529411764706,0.22504409097161351,0.6411793237033495
2025,home_win,adaboost,272,0.6507352941176471,0.22439847679337152,0.6395307825681651
2024,home_covers,hgb,268,0.48880597014925375,0.25161726343615914,0.6963955051153807
2024,home_covers,logreg,268,0.458955223880597,0.25182051097965613,0.6968176427450845
2024,home_covers,naive_bayes,268,0.48880597014925375,0.25057598919614554,0.6942995754305792
2024,home_covers,adaboost,268,0.4626865671641791,0.2524693739100216,0.698096364601593
2025,home_covers,hgb,271,0.4833948339483395,0.2501678447475679,0.6934825871995384
2025,home_covers,logreg,271,0.4981549815498155,0.2510207072902194,0.6951956626753654
2025,home_covers,naive_bayes,271,0.5055350553505535,0.2505242439837877,0.6941967758179799
2025,home_covers,adaboost,271,0.4797047970479705,0.2505263365275454,0.6941995963085361
