config,label,test_season,n_features,complexity,n,accuracy,brier,log_loss
adaboost_r4,AdaBoost (round4),2019,41,3,256,0.58984375,0.24374672745891363,0.6808930154421993
adaboost_r4,AdaBoost (round4),2020,41,3,256,0.625,0.22695487949697668,0.6456415496952777
adaboost_r4,AdaBoost (round4),2021,41,3,272,0.6323529411764706,0.22744842650605873,0.6460770728655405
adaboost_r4,AdaBoost (round4),2022,41,3,271,0.6678966789667896,0.2173919502056215,0.6240772644486338
adaboost_r4,AdaBoost (round4),2023,41,3,272,0.6470588235294118,0.23579629819404946,0.6656953954044977
adaboost_r4,AdaBoost (round4),2024,41,3,272,0.6911764705882353,0.21277177697268967,0.6161617203380136
adaboost_r4,AdaBoost (round4),2025,41,3,272,0.6507352941176471,0.2244235728238935,0.6395386125433641
logreg_r3,LogReg (round3),2019,33,2,256,0.5859375,0.2377899340758579,0.6683596351547982
logreg_r3,LogReg (round3),2020,33,2,256,0.6640625,0.22053379825910005,0.6320713720512495
logreg_r3,LogReg (round3),2021,33,2,272,0.625,0.23221817242486256,0.6560094589557771
logreg_r3,LogReg (round3),2022,33,2,271,0.6420664206642066,0.22096964777724704,0.6319873096628944
logreg_r3,LogReg (round3),2023,33,2,272,0.6286764705882353,0.2313637593669042,0.6560768821977971
logreg_r3,LogReg (round3),2024,33,2,272,0.7022058823529411,0.2051256448071642,0.5993482986688629
logreg_r3,LogReg (round3),2025,33,2,272,0.6286764705882353,0.22436750600158675,0.6391050454534893
l1_hgb_r4,L1-selected HGB (round4),2019,41,4,256,0.58203125,0.23519267619597295,0.6617807266331479
l1_hgb_r4,L1-selected HGB (round4),2020,41,4,256,0.62890625,0.22336088873087512,0.6371366419161116
l1_hgb_r4,L1-selected HGB (round4),2021,41,4,272,0.6286764705882353,0.2303645986751726,0.6519121561367155
l1_hgb_r4,L1-selected HGB (round4),2022,41,4,271,0.6715867158671587,0.22397438503516062,0.6386493624028394
l1_hgb_r4,L1-selected HGB (round4),2023,41,4,272,0.6323529411764706,0.23470706594595117,0.6630688452029143
l1_hgb_r4,L1-selected HGB (round4),2024,41,4,272,0.6911764705882353,0.21675947134039622,0.6240983303590135
l1_hgb_r4,L1-selected HGB (round4),2025,41,4,272,0.6360294117647058,0.22730221486095753,0.645875406452489
rf_r3,Random Forest (round3),2019,33,3,256,0.60546875,0.239521646065504,0.672279273286837
rf_r3,Random Forest (round3),2020,33,3,256,0.6640625,0.21565086771124317,0.6216745337950694
rf_r3,Random Forest (round3),2021,33,3,272,0.5955882352941176,0.23161388495909327,0.6548085252819956
rf_r3,Random Forest (round3),2022,33,3,271,0.6273062730627307,0.22296099176584697,0.6368608534426161
rf_r3,Random Forest (round3),2023,33,3,272,0.6397058823529411,0.2330494402210513,0.6585368245519649
rf_r3,Random Forest (round3),2024,33,3,272,0.6875,0.21044572786685134,0.6111267033034734
rf_r3,Random Forest (round3),2025,33,3,272,0.6360294117647058,0.22154044819724575,0.6329959988390422
naive_bayes_r4,Naive Bayes (round4),2019,41,2,256,0.6171875,0.23554153843811695,0.6641670022175628
naive_bayes_r4,Naive Bayes (round4),2020,41,2,256,0.6484375,0.22748309229306163,0.6471057924064803
naive_bayes_r4,Naive Bayes (round4),2021,41,2,272,0.5955882352941176,0.23668210448855137,0.6659512127827871
naive_bayes_r4,Naive Bayes (round4),2022,41,2,271,0.6236162361623616,0.22622962132464314,0.6441888908111923
naive_bayes_r4,Naive Bayes (round4),2023,41,2,272,0.6139705882352942,0.23573162596424602,0.6640489450106875
naive_bayes_r4,Naive Bayes (round4),2024,41,2,272,0.6911764705882353,0.21280741781477358,0.6164634843341541
naive_bayes_r4,Naive Bayes (round4),2025,41,2,272,0.6323529411764706,0.22503487885265153,0.6411624580879843
margin_linreg_r4,"Margin regression, LogReg-style (round4)",2019,41,5,256,0.62890625,0.23339575644531252,0.6601976995398278
margin_linreg_r4,"Margin regression, LogReg-style (round4)",2020,41,5,256,0.6484375,0.2153581766015625,0.6210296989997074
margin_linreg_r4,"Margin regression, LogReg-style (round4)",2021,41,5,272,0.6213235294117647,0.22980782536764705,0.6505752318236029
margin_linreg_r4,"Margin regression, LogReg-style (round4)",2022,41,5,271,0.6383763837638377,0.22242683974169744,0.6355670087111193
margin_linreg_r4,"Margin regression, LogReg-style (round4)",2023,41,5,272,0.6470588235294118,0.2314969281985294,0.6556895317600269
margin_linreg_r4,"Margin regression, LogReg-style (round4)",2024,41,5,272,0.7022058823529411,0.2080035475735294,0.6073760947142238
margin_linreg_r4,"Margin regression, LogReg-style (round4)",2025,41,5,272,0.6213235294117647,0.22340746738970588,0.6365215758457825
