test_season,target,model,feature_set,n,accuracy,brier,log_loss
2024,home_win,adaboost,round4,272,0.6838235294117647,0.21301986947791443,0.6166596978500402
2024,home_win,adaboost,round5,272,0.6875,0.2132523030610227,0.6172094654736491
2024,home_win,hgb,round4,272,0.6544117647058824,0.2181843616721637,0.6268917012377339
2024,home_win,hgb,round5,272,0.6654411764705882,0.21775484226096828,0.6261190213728824
2025,home_win,adaboost,round4,272,0.6507352941176471,0.22439847679337152,0.6395307825681651
2025,home_win,adaboost,round5,272,0.6433823529411765,0.22463925882544833,0.6400903788282637
2025,home_win,hgb,round4,272,0.6580882352941176,0.22405234556166795,0.638731750788606
2025,home_win,hgb,round5,272,0.6433823529411765,0.22597680288565436,0.642733035813921
2024,home_covers,adaboost,round4,268,0.4626865671641791,0.2524693739100216,0.698096364601593
2024,home_covers,adaboost,round5,268,0.4664179104477612,0.25200245201421184,0.6971565025679196
2024,home_covers,hgb,round4,268,0.48880597014925375,0.25161726343615914,0.6963955051153807
2024,home_covers,hgb,round5,268,0.48507462686567165,0.25169503187699427,0.6965563998948364
2025,home_covers,adaboost,round4,271,0.4797047970479705,0.2505263365275454,0.6941995963085361
2025,home_covers,adaboost,round5,271,0.4797047970479705,0.2505189215619692,0.6941846559697104
2025,home_covers,hgb,round4,271,0.4833948339483395,0.2501678447475679,0.6934825871995384
2025,home_covers,hgb,round5,271,0.46863468634686345,0.2504811734502705,0.6941100059478483
